(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(9)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(126)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(127)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(132)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(138)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(139)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(145)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(154)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(163)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(173)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(180)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(182)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(184)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(185)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(193)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(224)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(254)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(256)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(265)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(283)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(293)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(301)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(322)), {C=0.000833941415615553, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(337)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(365)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(375)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(384)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(393)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(394)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(400)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(404)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(406)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(413)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(419)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(420)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(425)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(430)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(437)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(442)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(443)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(469)), {C=0.000833941415615553, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(473)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(485)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(486)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(489)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(512)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(518)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(519)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(523)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(536)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(544)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(550)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(572)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(583)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(587)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(591)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(600)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(606)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(617)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(627)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(638)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(646)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(651)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(658)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(664)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(671)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(673)), {C=0.0010424267695194412, S=0.0009726680284019065}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(675)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(681)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(687)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(689)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(691)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(710)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(717)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(718)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(722)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(742)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(752)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(757)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(766)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(772)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(773)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(774)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(805)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(812)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(813)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(814)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(816)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(837)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(846)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(852)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(856)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(859)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(865)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(872)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(875)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(882)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(883)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(899)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(901)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(906)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(907)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(909)), {C=0.0009381840925674972, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(912)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(924)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(927)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(933)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(935)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(947)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(949)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(953)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(956)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(966)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(967)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(971)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(976)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(978)), {C=0.000833941415615553, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(980)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(986)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(992)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(994)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(995)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1000)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1006)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1015)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1016)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1018)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1022)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1024)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1049)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1064)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1070)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1101)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1122)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1124)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1129)), {C=0.000833941415615553, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1139)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1142)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1146)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1151)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1152)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1162)), {C=0.000833941415615553, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1169)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1176)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1182)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1193)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1197)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1200)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1213)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1227)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1268)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1277)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1314)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1326)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1328)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1331)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1336)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1337)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1339)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1341)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1348)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1363)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1364)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1374)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1379)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1385)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1399)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1401)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1405)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1409)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1422)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1425)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1436)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1444)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1453)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1455)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1456)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1457)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1460)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1466)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1471)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1472)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1473)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1475)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1477)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1479)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1482)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1485)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1486)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1498)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1511)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1518)), {C=0.0006254560617116647, S=0.0005836008170411438}
