(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(11)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(447)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(451)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(455)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(465)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(480)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(490)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(510)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(516)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(517)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(552)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(580)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(583)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(644)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(647)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(678)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(685)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(769)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(788)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(794)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(805)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(814)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(839)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(849)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(850)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(872)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(883)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(911)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(912)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(918)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(921)), {C=0.0012103281334050566, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(925)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(926)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(936)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(960)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(966)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(968)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(972)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(976)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(990)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(996)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1003)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1024)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1044)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1047)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1095)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1123)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1148)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1184)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1186)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1197)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1204)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1247)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1288)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1296)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1311)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1322)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1326)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1334)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1336)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1339)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1344)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1346)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1365)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1377)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1387)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1392)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1398)), {C=0.0010758472296933837, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1404)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1426)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1436)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1442)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1448)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1454)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1460)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1467)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1473)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1506)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1525)), {C=0.0006724045185583648, S=0.00048633401420095323}
