(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(17)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1485)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1525)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(17)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(148)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(225)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(232)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(340)), {C=0.0006500541711809317, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(393)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(410)), {C=0.0007583965330444204, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(443)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(559)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(642)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(668)), {C=0.0006500541711809317, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(837)), {C=0.0006500541711809317, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1063)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1084)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1363)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1467)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1485)), {C=0.0005417118093174432, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1525)), {C=0.0005417118093174432, S=0.00048633401420095323}
