(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(6)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(154)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(157)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(164)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(166)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(167)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(168)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(173)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(176)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(178)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(179)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(182)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(195)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(216)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(221)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(222)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(227)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(231)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(232)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(233)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(238)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(244)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(245)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(250)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(252)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(254)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(257)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(262)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(263)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(269)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(277)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(278)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(283)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(289)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(307)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(308)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(309)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(310)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(323)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(325)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(331)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(337)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(339)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(340)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(342)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(349)), {C=0.0014418125643666322, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(351)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(353)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(354)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(362)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(364)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(371)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(372)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(376)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(378)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(379)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(380)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(384)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(388)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(394)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(396)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(397)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(399)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(402)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(403)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(410)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(414)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(415)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(417)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(418)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(419)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(420)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(424)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(425)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(426)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(427)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(428)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(431)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(433)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(434)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(436)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(439)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(443)), {C=0.0011328527291452112, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(444)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(445)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(446)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(448)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(451)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(455)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(456)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(458)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(461)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(463)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(465)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(466)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(467)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(469)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(472)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(480)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(483)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(484)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(488)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(489)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(492)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(493)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(495)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(503)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(506)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(507)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(516)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(517)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(520)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(522)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(526)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(530)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(535)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(538)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(541)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(544)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(546)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(551)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(552)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(554)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(555)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(562)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(563)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(564)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(569)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(572)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(577)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(580)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(582)), {C=0.0010298661174047376, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(583)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(584)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(586)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(588)), {C=0.0011328527291452112, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(590)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(592)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(593)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(599)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(609)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(617)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(618)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(620)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(626)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(628)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(634)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(635)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(636)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(637)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(638)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(639)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(641)), {C=0.0005149330587023688, S=0.00048633401420095323}
