(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1118)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1124)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1144)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1162)), {C=0.00070085270412335, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1203)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1275)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1287)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1305)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1354)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1368)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1382)), {C=0.00070085270412335, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1409)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1412)), {C=0.0008176614881439083, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1431)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1440)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1483)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1495)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1543)), {C=0.0005840439201027917, S=0.00048633401420095323}
