(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(769)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(789)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(828)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(835)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(892)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(905)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(988)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1030)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1171)), {C=0.0007194984068249563, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1182)), {C=0.0006167129201356768, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1228)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1343)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1368)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1405)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1480)), {C=0.0005139274334463974, S=0.00048633401420095323}
