(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(2)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(504)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(509)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(510)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(511)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(516)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(522)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(525)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(546)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(547)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(550)), {C=0.0008241475224065109, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(552)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(563)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(571)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(576)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(588)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(590)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(591)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(593)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(599)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(604)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(606)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(608)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(609)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(622)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(628)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(652)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(680)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(710)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(725)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(727)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(730)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(732)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(743)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(748)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(749)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(768)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(769)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(798)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(808)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(839)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(841)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(850)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(855)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(857)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(862)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(899)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(901)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(903)), {C=0.0008241475224065109, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(904)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(906)), {C=0.0008241475224065109, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(914)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(918)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(919)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(921)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(927)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(934)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(956)), {C=0.0008241475224065109, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(957)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(960)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(965)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(977)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(978)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(979)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(983)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(984)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(989)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1011)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1018)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1020)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1034)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1036)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1037)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1041)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1042)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1044)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1055)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1057)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1063)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1068)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1072)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1073)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1078)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1079)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1085)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1088)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1095)), {C=0.0008241475224065109, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1106)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1112)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1122)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1126)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1127)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1131)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1134)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1141)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1145)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1176)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1183)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1184)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1185)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1188)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1196)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1198)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1213)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1219)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1220)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1233)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1243)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1245)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1246)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1267)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1276)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1278)), {C=0.0008241475224065109, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1289)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1294)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1298)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1300)), {C=0.0009271659627073246, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1321)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1343)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1351)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1356)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1359)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1360)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1366)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1377)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1379)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1387)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1389)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1394)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1401)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1422)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1424)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1428)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1436)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1438)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1441)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1452)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1461)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(1470)), {C=0.0007211290821056968, S=0.0006808676198813345}
