(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(820)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(821)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(860)), {C=0.0006093226363359399, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(866)), {C=0.0006093226363359399, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0006093226363359399, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(904)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(911)), {C=0.0006093226363359399, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(956)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1046)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1058)), {C=0.0006093226363359399, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1091)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1148)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1199)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1295)), {C=0.0006093226363359399, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1300)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1455)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1554)), {C=0.0005077688636132832, S=0.00048633401420095323}
