(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(495)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(509)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(516)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(550)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(576)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(588)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(599)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(652)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(710)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(732)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(743)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(749)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(768)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(841)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(850)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(855)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(901)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(903)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(904)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(906)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(918)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(921)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(927)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(956)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(957)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(965)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(978)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(984)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1020)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1034)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1036)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1041)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1042)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1057)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1072)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1085)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1095)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1112)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1127)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1131)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1145)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1176)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1184)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1188)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1219)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1245)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1267)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1276)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1278)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1289)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1298)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1300)), {C=0.0007024586051179127, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1377)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1428)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1436)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1438)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1470)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1473)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1496)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1523)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1525)), {C=0.0006021073758153537, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1527)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1546)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1549)), {C=0.0005017561465127949, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1553)), {C=0.0005017561465127949, S=0.00048633401420095323}
