(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(7)), {C=0.0007400359446030235, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(428)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(437)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(444)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(446)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(493)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(530)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(546)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(572)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(595)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(656)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(663)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(734)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(749)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(755)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(813)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(820)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(866)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(875)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(878)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(881)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(963)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(991)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1005)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1014)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1019)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1045)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1055)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1059)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1067)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1088)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1146)), {C=0.0007400359446030235, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1162)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1200)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1266)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1308)), {C=0.0008457553652605985, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1311)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1332)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1380)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1388)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1438)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1443)), {C=0.0006343165239454488, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1456)), {C=0.0007400359446030235, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1489)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1492)), {C=0.000528597103287874, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1514)), {C=0.0007400359446030235, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(marital_status(S)) --> (buy(1515)), {C=0.0006343165239454488, S=0.0005836008170411438}
