(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(5)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(468)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(472)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(473)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(475)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(477)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(494)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(495)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(502)), {C=0.0008093889113719142, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(504)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(506)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(517)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(518)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(520)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(522)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(523)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(528)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(531)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(539)), {C=0.0008093889113719142, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(545)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(547)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(549)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(566)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(567)), {C=0.0009105625252934036, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(570)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(576)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(579)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(586)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(589)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(593)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(598)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(599)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(609)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(613)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(622)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(629)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(632)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(638)), {C=0.0010117361392148927, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(645)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(662)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(676)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(696)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(712)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(714)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(737)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(748)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(749)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(755)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(765)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(769)), {C=0.0008093889113719142, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(778)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(784)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(789)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(794)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(806)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(815)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(828)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(835)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(842)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(844)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(869)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(889)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(892)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(894)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(895)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(897)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(898)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(900)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(902)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(905)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(908)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(915)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(925)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(926)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(927)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(934)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(938)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(952)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(958)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(960)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(965)), {C=0.0008093889113719142, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(966)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(970)), {C=0.0008093889113719142, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(974)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(983)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(988)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(989)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(996)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1005)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1012)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1015)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1017)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1021)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1028)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1030)), {C=0.0007082152974504249, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1032)), {C=0.0006070416835289356, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1047)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1055)), {C=0.0005058680696074464, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1082)), {C=0.0007082152974504249, S=0.0006808676198813345}
