(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(66)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(660)), {C=0.0008653014133256417, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(710)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(821)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(849)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(868)), {C=0.001009518315546582, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(910)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(914)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(915)), {C=0.0008653014133256417, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(916)), {C=0.001009518315546582, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(938)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(953)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(969)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1002)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1029)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1046)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1077)), {C=0.0008653014133256417, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1085)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1122)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1134)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1190)), {C=0.0008653014133256417, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1196)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1311)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1330)), {C=0.0008653014133256417, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1408)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1425)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1445)), {C=0.0008653014133256417, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1446)), {C=0.001009518315546582, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1504)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1523)), {C=0.0007210845111047015, S=0.00048633401420095323}
