(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(6)), {C=0.0008115236356258876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(162)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(177)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(180)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(187)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(190)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(195)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(196)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(222)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(228)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(231)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(233)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(238)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(239)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(245)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(249)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(251)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(253)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(255)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(258)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(260)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(266)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(287)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(300)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(309)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(316)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(336)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(337)), {C=0.0008115236356258876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(353)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(365)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(366)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(369)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(370)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(375)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(385)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(393)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(394)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(405)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(413)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(414)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(426)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(433)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(441)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(454)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(456)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(458)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(460)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(463)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(470)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(472)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(473)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(477)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(480)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(483)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(486)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(492)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(497)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(500)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(504)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(506)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(511)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(513)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(515)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(522)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(528)), {C=0.0009129640900791236, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(529)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(533)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(534)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(536)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(543)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(547)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(549)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(553)), {C=0.0009129640900791236, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(554)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(570)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(571)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(575)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(582)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(583)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(584)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(585)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(588)), {C=0.0008115236356258876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(590)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(592)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(593)), {C=0.0012172854534388312, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(598)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(606)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(609)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(613)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(620)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(622)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(624)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(626)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(628)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(629)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(645)), {C=0.0008115236356258876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(663)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(682)), {C=0.0008115236356258876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(688)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(692)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(710)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(711)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(719)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(733)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(740)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(749)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(755)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(760)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(761)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(782)), {C=0.0010144045445323595, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(786)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(790)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(797)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(799)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(817)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(826)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(827)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(832)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(835)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(836)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(838)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(841)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(843)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(844)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(846)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(848)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(851)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(854)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(855)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(870)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(871)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(872)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(873)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(881)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(888)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(893)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(894)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(901)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(902)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(908)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(909)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(911)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(913)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(914)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(921)), {C=0.0006086427267194156, S=0.0005836008170411438}
