(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(2)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(121)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(125)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(130)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(132)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(134)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(135)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(137)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(138)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(139)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(146)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(149)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(154)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(157)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(160)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(164)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(167)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(168)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(169)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(170)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(172)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(173)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(176)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(178)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(199)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(201)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(206)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(211)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(216)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(221)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(222)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(227)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(228)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(229)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(231)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(240)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(241)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(248)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(250)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(257)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(262)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(264)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(265)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(266)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(267)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(268)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(275)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(277)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(278)), {C=0.0011154489682097045, S=0.0009726680284019065}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(280)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(282)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(290)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(297)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(299)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(306)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(307)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(310)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(317)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(335)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(337)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(339)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(341)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(342)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(349)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(354)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(355)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(370)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(373)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(374)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(378)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(384)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(386)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(388)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(396)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(397)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(400)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(402)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(404)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(411)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(412)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(414)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(415)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(418)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(419)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(420)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(428)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(429)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(432)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(434)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(438)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(440)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(442)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(443)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(446)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(447)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(449)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(450)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(451)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(455)), {C=0.0013385387618516451, S=0.0011672016340822876}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(456)), {C=0.0011154489682097045, S=0.0009726680284019065}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(457)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(458)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(460)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(461)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(463)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(465)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(466)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(467)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(473)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(476)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(481)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(483)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(488)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(490)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(495)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(496)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(498)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(503)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(510)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(516)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(525)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(527)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(529)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(530)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(532)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(539)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(540)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(541)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(544)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(545)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(547)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(552)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(554)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(563)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(567)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(570)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(571)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(575)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(576)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(580)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(582)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(583)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(584)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(588)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(594)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(599)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(601)), {C=0.0008923591745677636, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(604)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(609)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(613)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(618)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(621)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(622)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(628)), {C=0.001003904071388734, S=0.0008754012255617158}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(629)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(632)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(634)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(635)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(636)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(638)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(647)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(649)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(656)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(660)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(662)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(663)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(679)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(680)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(682)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(684)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(686)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(689)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(690)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(691)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(692)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(696)), {C=0.0005577244841048522, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(705)), {C=0.0006692693809258226, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(710)), {C=0.000780814277746793, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(711)), {C=0.0005577244841048522, S=0.00048633401420095323}
