(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(199)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(202)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(203)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(206)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(226)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(243)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(252)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(255)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(262)), {C=0.0008967604528640287, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(271)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(277)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(279)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(295)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(299)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(302)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(308)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(332)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(339)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(340)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(341)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(343)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(347)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(348)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(350)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(363)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(378)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(381)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(394)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(400)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(417)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(425)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(426)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(428)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(431)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(433)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(442)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(455)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0010088555094720324, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(471)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(475)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(479)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0008967604528640287, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(483)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(485)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(501)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(507)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(508)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(512)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(522)), {C=0.0010088555094720324, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(523)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(528)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(545)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(549)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(559)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(561)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(562)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(567)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(597)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(605)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(618)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(621)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(629)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(636)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(641)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(644)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(649)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(657)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(693)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(695)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(696)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(697)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(704)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(723)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(725)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(728)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(746)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(788)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(801)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0010088555094720324, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(839)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(844)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(849)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(855)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(858)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(867)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(872)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0010088555094720324, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(885)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(890)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(905)), {C=0.0008967604528640287, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(916)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(922)), {C=0.0006725703396480215, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(930)), {C=0.0007846653962560251, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(934)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(941)), {C=0.000560475283040018, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0010088555094720324, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(954)), {C=0.0006725703396480215, S=0.0005836008170411438}
