(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(120)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(121)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(124)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(126)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(127)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(130)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(132)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(144)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(151)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(158)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(159)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(160)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(161)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(163)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(165)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(168)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(174)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(175)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(183)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(189)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(190)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(197)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(201)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(211)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(214)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(220)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(222)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(223)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(233)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(244)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(250)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(251)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(254)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(259)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(271)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(275)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(279)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(287)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(295)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(301)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(302)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(306)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(309)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(310)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(315)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(316)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(321)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(326)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(330)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(350)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(353)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(354)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(356)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(357)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(359)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(362)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(364)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(366)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(369)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(370)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(372)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(373)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(374)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(375)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(378)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(379)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(380)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(382)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(390)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(392)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(400)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(403)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(404)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(407)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(409)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(412)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(413)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(417)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(428)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(429)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(439)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(441)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(445)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(447)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(449)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(451)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(452)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(453)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(462)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(463)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(467)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(478)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(479)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(480)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(483)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(488)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(490)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(493)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(494)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(496)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(501)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(507)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(511)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(515)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(517)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(518)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(519)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(521)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(526)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(527)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(529)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(533)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(544)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(546)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(548)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(555)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(559)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(560)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(562)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(563)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(568)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(569)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(573)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(574)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(575)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(580)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(582)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(594)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(599)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(602)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(603)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(615)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(618)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(622)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(623)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(624)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(625)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(634)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(636)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(640)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(644)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(645)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(647)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(656)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(658)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(660)), {C=0.0007489033914625013, S=0.0006808676198813345}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(661)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(663)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(664)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(667)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(668)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(669)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(674)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(678)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(679)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(682)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(683)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(684)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(685)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(688)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(692)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(705)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(717)), {C=0.0009628757890232161, S=0.0008754012255617158}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(723)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(724)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(730)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(733)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(735)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(744)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(750)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(751)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(762)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(763)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(767)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(771)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(778)), {C=0.0005349309939017867, S=0.00048633401420095323}
