(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(58)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(61)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(65)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(69)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(70)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(75)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(81)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(85)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(89)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(91)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(94)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(95)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(98)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(103)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(112)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(114)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(116)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(122)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(126)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(138)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(139)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(146)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(147)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(154)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(156)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(160)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(162)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(163)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(164)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(168)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(176)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(179)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(180)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(182)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(183)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(185)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(187)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(190)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(191)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(194)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(196)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(199)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(212)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(213)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(218)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(226)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(228)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(239)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(241)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(244)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(245)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(247)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(248)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(249)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(252)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(255)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(261)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(273)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(274)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(275)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(277)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(279)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(287)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(290)), {C=0.000959795243681348, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(304)), {C=0.0010664391596459423, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(307)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(308)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(310)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(311)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(322)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(325)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(328)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(332)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(334)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(337)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(340)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(342)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(346)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(347)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(348)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(354)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(355)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.0010664391596459423, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(364)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(365)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(366)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(370)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(373)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(374)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(375)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(379)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(381)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(385)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(387)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(393)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(397)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(399)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(400)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(404)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(407)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(410)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(411)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(413)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(415)), {C=0.000959795243681348, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(417)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(422)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.0010664391596459423, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(428)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(432)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(457)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(463)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(464)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(469)), {C=0.000959795243681348, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(474)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(480)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(483)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(484)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(495)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(500)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(502)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(503)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(505)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(507)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(510)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(513)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(514)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(522)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(528)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(529)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(530)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(534)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(536)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(544)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(547)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(549)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(553)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(556)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(564)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(566)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(570)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(571)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(573)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(575)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(576)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(577)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(579)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(583)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(584)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(588)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(590)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(594)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(596)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(598)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(600)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(601)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(603)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(608)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(623)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(624)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(627)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(637)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(638)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(639)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(645)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(660)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(663)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(670)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(674)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(677)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(682)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(685)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(689)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(690)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(697)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(706)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(712)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(714)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(718)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(725)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(727)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(728)), {C=0.0005332195798229711, S=0.00048633401420095323}
