(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(18)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(939)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(969)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1012)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1053)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1082)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1122)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1149)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1154)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1164)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1195)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1260)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1280)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1322)), {C=0.0009018294254058231, S=0.0006808676198813345}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1335)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1337)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1355)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1360)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1362)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1377)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1382)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1421)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1423)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1438)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1445)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1453)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1485)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1495)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1533)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1539)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1547)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(1550)), {C=0.0007729966503478484, S=0.0005836008170411438}
