(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(3)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(232)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(233)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(238)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(240)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(242)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(244)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(248)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(249)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(250)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(251)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(253)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(254)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(255)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(256)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(260)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(265)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(266)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(267)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(271)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(275)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(276)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(277)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(283)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(286)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(287)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(288)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(291)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(295)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(296)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(299)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(300)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(301)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(303)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(306)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(309)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(310)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(311)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(312)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(313)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(314)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(315)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(316)), {C=0.00131957773512476, S=0.001069934831242097}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.00131957773512476, S=0.001069934831242097}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(318)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(319)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(320)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(321)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(322)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(324)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(326)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(327)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(328)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(329)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(330)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0015595009596928982, S=0.0012644684369224784}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.001439539347408829, S=0.0011672016340822876}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.00131957773512476, S=0.001069934831242097}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(342)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(343)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(344)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(345)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(346)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(348)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(351)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(352)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(353)), {C=0.0015595009596928982, S=0.0012644684369224784}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(355)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(356)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(360)), {C=0.0009596928982725529, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(361)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(365)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(366)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(368)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(369)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(370)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(373)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(374)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(376)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(378)), {C=0.0008397312859884836, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(380)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(382)), {C=0.0005998080614203455, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(383)), {C=0.001079654510556622, S=0.0008754012255617158}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(384)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(385)), {C=0.001199616122840691, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(386)), {C=0.0007197696737044145, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(388)), {C=0.001079654510556622, S=0.0008754012255617158}
