(member card(Bronze))(education(Partial College)) --> (buy(4)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(82)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(96)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(98)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(99)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(104)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(108)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(112)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(113)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(115)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(116)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(117)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(127)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(129)), {C=0.0016647244880972202, S=0.0009726680284019065}
(member card(Bronze))(education(Partial College)) --> (buy(132)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(136)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(137)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(145)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(153)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(154)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(156)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(180)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(181)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(182)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(191)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(194)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(195)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(196)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(201)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(207)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(213)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(215)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(227)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(228)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(231)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(232)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(244)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(249)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(262)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(266)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(267)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(274)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(277)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(278)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(285)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(288)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(292)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(293)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(294)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(299)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(305)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(307)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(308)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(312)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(323)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(328)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(331)), {C=0.001831196936906942, S=0.001069934831242097}
(member card(Bronze))(education(Partial College)) --> (buy(332)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(333)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(335)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(336)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(337)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(340)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(341)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(344)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(353)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(354)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(358)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(359)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(362)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(366)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(369)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(370)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(372)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(377)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(379)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(380)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(387)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(388)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(389)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(390)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(399)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(400)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(402)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(403)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(407)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(411)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(412)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(413)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(414)), {C=0.001997669385716664, S=0.0011672016340822876}
(member card(Bronze))(education(Partial College)) --> (buy(417)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(419)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(425)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(428)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(434)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(436)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(439)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(441)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(442)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(443)), {C=0.001831196936906942, S=0.001069934831242097}
(member card(Bronze))(education(Partial College)) --> (buy(445)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(452)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(455)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(456)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(457)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(460)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(463)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(464)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(465)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(466)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(477)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(481)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(482)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(483)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(485)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(489)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(491)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(492)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(493)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(498)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(503)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(506)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(526)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(528)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(529)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(537)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(539)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(540)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(542)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(544)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(546)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(547)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(550)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(553)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(557)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(559)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(564)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(565)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(568)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(573)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(576)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(585)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(586)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(588)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(590)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(592)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(594)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(601)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(602)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(607)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(610)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(612)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(617)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(622)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(623)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(629)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(634)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(639)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(645)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(648)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(659)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(660)), {C=0.0016647244880972202, S=0.0009726680284019065}
(member card(Bronze))(education(Partial College)) --> (buy(669)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(671)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(675)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(683)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(686)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(687)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(688)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(690)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(693)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(697)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(704)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(708)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(710)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(716)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(725)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(734)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(735)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(739)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(746)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(747)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(752)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(758)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(760)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(761)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(777)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(778)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(785)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(786)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(792)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(793)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(795)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(798)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(800)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(804)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(807)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(808)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(815)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(816)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(821)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(823)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(827)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(829)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(831)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(840)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(841)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(842)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(847)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(848)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(849)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(860)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(866)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(868)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(878)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(879)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(880)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(881)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(891)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(893)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(895)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(897)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(901)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(903)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(905)), {C=0.0013317795904777762, S=0.0007781344227215252}
(member card(Bronze))(education(Partial College)) --> (buy(910)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(914)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(915)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(916)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(921)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(923)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(925)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(926)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(927)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(929)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(931)), {C=0.0014982520392874982, S=0.0008754012255617158}
(member card(Bronze))(education(Partial College)) --> (buy(934)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(935)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(938)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(939)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(943)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(946)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(947)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(948)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(950)), {C=0.0008323622440486101, S=0.00048633401420095323}
