(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(39)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(683)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(689)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(747)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(777)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(834)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(839)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(865)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(882)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(905)), {C=0.0008629058354007119, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(922)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(952)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(954)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(960)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(972)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1000)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1104)), {C=0.0009707690648258009, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1117)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1152)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1203)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1211)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1224)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1231)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1305)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1311)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1332)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1358)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1376)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1389)), {C=0.0008629058354007119, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1403)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1426)), {C=0.0005393161471254449, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1447)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1513)), {C=0.0006471793765505338, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1527)), {C=0.0007550426059756228, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1555)), {C=0.0005393161471254449, S=0.00048633401420095323}
