(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(21)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(500)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(552)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(581)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(584)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(593)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(609)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(626)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(673)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(681)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(687)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(733)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(736)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(805)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(836)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(847)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(856)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(902)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(907)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(933)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(967)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(992)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(996)), {C=0.0011930010604453872, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(997)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1058)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1084)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1089)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1136)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1206)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1223)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1227)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1236)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1265)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1290)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1297)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1319)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1320)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1337)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1381)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1406)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1417)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1432)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1434)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1439)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1446)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1452)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1466)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1488)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(21)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(31)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(34)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(70)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(95)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(126)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(195)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(265)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(292)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(333)), {C=0.0010604453870625664, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(393)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(394)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(400)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(423)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(433)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(443)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(469)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(500)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(552)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(581)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(584)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(593)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(609)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(626)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(673)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(681)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(687)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(733)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(736)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(805)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(836)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(847)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(856)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(902)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(907)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(933)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(967)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(992)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(996)), {C=0.0011930010604453872, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(997)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1058)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1084)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1089)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1136)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1206)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1223)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1227)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1236)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1265)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1290)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1297)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1319)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1320)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1337)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1381)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1406)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1417)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1432)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1434)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1439)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1446)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1452)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1466)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1488)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(21)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(31)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(34)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(70)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(95)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(126)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(195)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(265)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(292)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(333)), {C=0.0010604453870625664, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(393)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(394)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(400)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(423)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(433)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(443)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(469)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(500)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(552)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(581)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(584)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(593)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(609)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(626)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(673)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(681)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(687)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(733)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(736)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(805)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(836)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(847)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(856)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(902)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(907)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(933)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(967)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(992)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(996)), {C=0.0011930010604453872, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(997)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1058)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1084)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1089)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1136)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1206)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1223)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1227)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1236)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1265)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1290)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1297)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1319)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1320)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1337)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1381)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1406)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1417)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1432)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1434)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1439)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1446)), {C=0.0009278897136797455, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1452)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1466)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1488)), {C=0.000662778366914104, S=0.00048633401420095323}
