(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(4)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(34)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(35)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(36)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(37)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(38)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(42)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(43)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(46)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(47)), {C=0.0012015292190060078, S=0.001069934831242097}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(48)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(49)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(50)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(51)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(53)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(54)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(55)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(57)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(61)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(63)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(64)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(65)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(66)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(67)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(68)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(69)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(70)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(71)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(72)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(74)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(75)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(78)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(79)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(80)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(82)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(84)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(86)), {C=0.0012015292190060078, S=0.001069934831242097}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(89)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(90)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(91)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(92)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(93)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(95)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(96)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(97)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(99)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(100)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(102)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(104)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(106)), {C=0.0010922992900054616, S=0.0009726680284019065}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(108)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(110)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(112)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(114)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(116)), {C=0.0010922992900054616, S=0.0009726680284019065}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(117)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(118)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(120)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(122)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(125)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(126)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(127)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(128)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(131)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(132)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(133)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(137)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(138)), {C=0.0010922992900054616, S=0.0009726680284019065}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(139)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(141)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(142)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(143)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(147)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(148)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(150)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(154)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(156)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(157)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(160)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(162)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(163)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(164)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(165)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(169)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(170)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(171)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(174)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(175)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(178)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(179)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(180)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(182)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(183)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(185)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(187)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(188)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(190)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(191)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(192)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(193)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(195)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(196)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(201)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(202)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(203)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(204)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(205)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(206)), {C=0.0010922992900054616, S=0.0009726680284019065}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(208)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(209)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(211)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(212)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(214)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(216)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(219)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(222)), {C=0.0012015292190060078, S=0.001069934831242097}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(224)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(226)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(230)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(231)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(232)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(233)), {C=0.0010922992900054616, S=0.0009726680284019065}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(234)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(235)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(237)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(238)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(245)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(249)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(251)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(253)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(254)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(255)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(256)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(258)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(260)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(261)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(263)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(264)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(265)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(266)), {C=0.0012015292190060078, S=0.001069934831242097}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(267)), {C=0.0012015292190060078, S=0.001069934831242097}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(270)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(271)), {C=0.0010922992900054616, S=0.0009726680284019065}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(272)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(275)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(276)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(277)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(282)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(283)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(284)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(286)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(287)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(288)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(289)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(290)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(292)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(293)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(295)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(297)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(298)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(299)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(300)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(301)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(302)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(303)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(306)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(307)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(309)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(310)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(311)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(312)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(314)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(316)), {C=0.0012015292190060078, S=0.001069934831242097}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(317)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(318)), {C=0.0012015292190060078, S=0.001069934831242097}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(319)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(320)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(321)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(322)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(324)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(326)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(327)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(328)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(329)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(330)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(331)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(332)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(334)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(335)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(336)), {C=0.0013107591480065537, S=0.0011672016340822876}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(337)), {C=0.0012015292190060078, S=0.001069934831242097}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(339)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(340)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(341)), {C=0.0010922992900054616, S=0.0009726680284019065}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(342)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(343)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(344)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(345)), {C=0.000764609503003823, S=0.0006808676198813345}
