(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(10)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(606)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(611)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(617)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(623)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(649)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(782)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(793)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(818)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(820)), {C=0.0008660820612753059, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(848)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(882)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(914)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(917)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(928)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(933)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(948)), {C=0.0008660820612753059, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(964)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(979)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(984)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1043)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1058)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1086)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1091)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1099)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1109)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1151)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1163)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1192)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1222)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1271)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1311)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1347)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1378)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1397)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1407)), {C=0.0006495615459564793, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1427)), {C=0.0005413012882970661, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1452)), {C=0.0005413012882970661, S=0.00048633401420095323}
