(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(6)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(348)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(365)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(370)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(374)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(384)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(390)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(396)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(404)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(426)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(428)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(432)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(433)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(445)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(447)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(457)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(462)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(463)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(464)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(477)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(481)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(484)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(486)), {C=0.0009409550693954364, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(492)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(493)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(504)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(525)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(533)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(534)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(541)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(544)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(546)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(553)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(557)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(566)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(587)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(588)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(590)), {C=0.0011761938367442955, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(596)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(605)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(626)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(634)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(645)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(656)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(657)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(692)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(703)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(710)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(749)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(755)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(761)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(788)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(789)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(790)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(791)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(827)), {C=0.0009409550693954364, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(829)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(831)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(850)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(857)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(858)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(862)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(866)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(878)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(881)), {C=0.0011761938367442955, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(883)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(887)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(888)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(898)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(899)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(906)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(909)), {C=0.0009409550693954364, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(914)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(915)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(931)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(934)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(935)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(955)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(965)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(966)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(967)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(974)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(977)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(986)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(990)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1006)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1012)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1018)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1019)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1025)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1029)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1049)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1061)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1065)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1067)), {C=0.0009409550693954364, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1077)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1121)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1129)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1146)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1156)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1162)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1169)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1183)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1185)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1205)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1209)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1210)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1212)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1219)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1220)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1228)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1246)), {C=0.0009409550693954364, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1247)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1254)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1262)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1266)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1267)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1276)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1278)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1280)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1289)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1298)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1299)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1300)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1308)), {C=0.0009409550693954364, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1311)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1315)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1355)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1388)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1390)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1396)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1411)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1413)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1420)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1424)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1428)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1443)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1456)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1457)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1462)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1477)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1483)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1492)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1506)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1508)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1509)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1520)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1521)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1528)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1530)), {C=0.0007057163020465772, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1539)), {C=0.0008233356857210068, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1548)), {C=0.0005880969183721477, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Normal)) --> (buy(1549)), {C=0.0005880969183721477, S=0.00048633401420095323}
