(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(11)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(460)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(461)), {C=0.0007233646791360958, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(465)), {C=0.000930040301746409, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(503)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(516)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(517)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(541)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(546)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(563)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(571)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(575)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(576)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(618)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(632)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(656)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(668)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(684)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(705)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(724)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(725)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(731)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(741)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(814)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(887)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(912)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(915)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(921)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(927)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(929)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(948)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(952)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(960)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(989)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(996)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1003)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1057)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1061)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1075)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1127)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1184)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1198)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1233)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1247)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1276)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1300)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1339)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1342)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1365)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1377)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1387)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1394)), {C=0.0008267024904412525, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1421)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1422)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1426)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1441)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1442)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1443)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1453)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1455)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1487)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1516)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1525)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1546)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(1557)), {C=0.0005166890565257828, S=0.00048633401420095323}
