(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0007099391480730223, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0007099391480730223, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0006085192697768763, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0006085192697768763, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0008113590263691685, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0007099391480730223, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0006085192697768763, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0006085192697768763, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0008113590263691685, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1261)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0005070993914807302, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0005070993914807302, S=0.00048633401420095323}
