(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(3)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(113)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(124)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(126)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(137)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(149)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(159)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(170)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(174)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(181)), {C=0.001565217391304348, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(182)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(188)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(189)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(212)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(214)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(216)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(227)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(238)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(256)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(269)), {C=0.001565217391304348, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(274)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(303)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(305)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(308)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(309)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(313)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(335)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(336)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(337)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(341)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(344)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(345)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(349)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(353)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(360)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(361)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(362)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(365)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(376)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(378)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(382)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(384)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(385)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(388)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(398)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(403)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(408)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(410)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(412)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(415)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(416)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(418)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(421)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(422)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(424)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(427)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(435)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(436)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(439)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(440)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(443)), {C=0.001565217391304348, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(445)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(447)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(452)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(454)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(455)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(456)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(458)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(460)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(461)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(464)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(468)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(471)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(478)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(482)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(489)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(490)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(493)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(495)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(503)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(506)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(511)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(514)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(515)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(519)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(521)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(523)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(525)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(530)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(541)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(542)), {C=0.001565217391304348, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(550)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(554)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(560)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(562)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(565)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(568)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(579)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(580)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(592)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(597)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(599)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(600)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(603)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(606)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(611)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(617)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(618)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(620)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(623)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(627)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(634)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(635)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(639)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(647)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(648)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(649)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(652)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(656)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(658)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(661)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(662)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(664)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(671)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(686)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(687)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(690)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(691)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(698)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(705)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(734)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(738)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(745)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(747)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(751)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(758)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(769)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(772)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(778)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(779)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(782)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(784)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(791)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(793)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(800)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(807)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(808)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(813)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(818)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(820)), {C=0.0017391304347826088, S=0.0009726680284019065}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(822)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(837)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(841)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(844)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(848)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(868)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(869)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(873)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(877)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(881)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(882)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(885)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(887)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(904)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(906)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(907)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(914)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(917)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(923)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(928)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(930)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(933)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(936)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(937)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(947)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(948)), {C=0.001391304347826087, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(957)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(958)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(960)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(962)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(963)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(964)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(965)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(968)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(970)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(971)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(972)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(975)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(979)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(980)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(984)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(988)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1008)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1013)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1014)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1017)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1021)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1032)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1033)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1039)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1043)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1044)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1046)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1047)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1050)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1058)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1059)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1067)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1069)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1070)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1076)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1079)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1081)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1082)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1083)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1084)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1086)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(1089)), {C=0.0008695652173913044, S=0.00048633401420095323}
