(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(3)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(95)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(96)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(97)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(100)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(103)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(104)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(105)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(107)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(108)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(111)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(112)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(113)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(114)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(115)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(116)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(117)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(119)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(121)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(123)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(127)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(130)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(132)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(135)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(136)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(137)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(142)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(143)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(146)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(147)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(149)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(152)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(153)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(154)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(155)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(156)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(157)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(159)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(160)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(161)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(162)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(163)), {C=0.00107342206955775, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(164)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(165)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(166)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(167)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(168)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(169)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(172)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(176)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(177)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(179)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(180)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(183)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(184)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(186)), {C=0.0012881064834693, S=0.0011672016340822876}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(187)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(191)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(194)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(195)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(196)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(197)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(200)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(206)), {C=0.00107342206955775, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(210)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(211)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(215)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(217)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(220)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(223)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(225)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(226)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(227)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(228)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(229)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(230)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(231)), {C=0.0011807642765135251, S=0.001069934831242097}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(234)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(239)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(242)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(244)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(245)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(247)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(248)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(249)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(250)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(251)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(252)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(254)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(260)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(261)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(262)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(263)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(264)), {C=0.0011807642765135251, S=0.001069934831242097}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(265)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(267)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(268)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(269)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(270)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(271)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(275)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(278)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(283)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(284)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(285)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(288)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(292)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(293)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(294)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(295)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(297)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(298)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(299)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(300)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(301)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(302)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(303)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(304)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(305)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(308)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(309)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(311)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(312)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(313)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(315)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(316)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(317)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(318)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(319)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(321)), {C=0.00107342206955775, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(322)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(323)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(326)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(329)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(331)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(332)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(333)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(334)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(336)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(337)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(338)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(339)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(340)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(341)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(342)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(343)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(344)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(345)), {C=0.00107342206955775, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(348)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(349)), {C=0.00107342206955775, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(353)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(356)), {C=0.00107342206955775, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(357)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(358)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(362)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(363)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(367)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(368)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(369)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(370)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(371)), {C=0.00064405324173465, S=0.0005836008170411438}
