(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(4)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(396)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(397)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(398)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(427)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(490)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(498)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(503)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(527)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(541)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(542)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(551)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(622)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(628)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(631)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(645)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(648)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(669)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(706)), {C=0.0007673755755316816, S=0.0006808676198813345}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(718)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(724)), {C=0.0007673755755316816, S=0.0006808676198813345}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(725)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(731)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(749)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(754)), {C=0.0007673755755316816, S=0.0006808676198813345}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(791)), {C=0.0007673755755316816, S=0.0006808676198813345}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(797)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(812)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(849)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(855)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(873)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(914)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(930)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(940)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(958)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(964)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(995)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1074)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1079)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1093)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1122)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1128)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1164)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1213)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1220)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1260)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1356)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1426)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1457)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1463)), {C=0.0007673755755316816, S=0.0006808676198813345}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1496)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1510)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1530)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(1554)), {C=0.00065775049331287, S=0.0005836008170411438}
