(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(7)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(63)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(66)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(69)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(70)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(78)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(80)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(82)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(87)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(91)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(92)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(94)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(95)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(101)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(104)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(107)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(109)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(115)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(116)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(118)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(123)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(130)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(131)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(132)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(133)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(135)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(136)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(141)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(142)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(143)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(145)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(151)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(153)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(156)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(157)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(159)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(162)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(164)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(170)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(173)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(174)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(176)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(179)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(182)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(183)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(184)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(188)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(193)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(197)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(198)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(200)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(202)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(211)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(217)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(218)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(219)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(220)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(223)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(226)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(228)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(232)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(236)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(244)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(246)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(250)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(251)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(252)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(253)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(258)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(262)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(263)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(271)), {C=0.0011312217194570137, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(272)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(276)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(280)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(285)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(286)), {C=0.0011312217194570137, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(288)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(289)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(292)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(294)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(296)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(297)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(298)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(304)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(312)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(319)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(320)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(323)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(330)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(334)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(340)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(341)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(345)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(348)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(349)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(350)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(351)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(352)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(353)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(358)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(362)), {C=0.0011312217194570137, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(369)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(370)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(371)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(372)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(379)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(380)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(382)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(383)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(384)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(385)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(388)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(389)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(391)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(394)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(399)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(400)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(401)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(403)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(404)), {C=0.0012443438914027148, S=0.001069934831242097}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(405)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(408)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(410)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(411)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(412)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(414)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(415)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(417)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(421)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(425)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(426)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(427)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(432)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(433)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(435)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(438)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(439)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(440)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(441)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(443)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(446)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(447)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(451)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(459)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(460)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(461)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(463)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(467)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(468)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(469)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(472)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(475)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(476)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(478)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(482)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(484)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(486)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(492)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(493)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(496)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(497)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(499)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(502)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(505)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(506)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(507)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(510)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(514)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(515)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(520)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(524)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(525)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(526)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(529)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(530)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(536)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(537)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(538)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(540)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(541)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(542)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(544)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(546)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(549)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(552)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(553)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(555)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(561)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(563)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(565)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(567)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(568)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(574)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(576)), {C=0.0005656108597285068, S=0.00048633401420095323}
