(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(12)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(711)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(719)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(724)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(782)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(797)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(823)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(844)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(855)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(894)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(899)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(901)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(902)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(906)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(908)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.000800640512409928, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(921)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(955)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(959)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(964)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(971)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(996)), {C=0.000800640512409928, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1008)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1016)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1035)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1050)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1052)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1068)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1134)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1136)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1144)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1156)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1162)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1181)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1200)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1202)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1214)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1227)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1234)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1246)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1273)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1281)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1286)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1287)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1295)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1298)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1302)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1304)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1309)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1332)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1337)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1341)), {C=0.000800640512409928, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1369)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1381)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1383)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1390)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1396)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1405)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1410)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1417)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1418)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1422)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1423)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1428)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1442)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1458)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1462)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1470)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1488)), {C=0.0007005604483586869, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1507)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1514)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1517)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1521)), {C=0.0006004803843074459, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1531)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1545)), {C=0.0005004003202562049, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(Y))(marital_status(M)) --> (buy(1546)), {C=0.0005004003202562049, S=0.00048633401420095323}
