(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(676)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(677)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(689)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(692)), {C=0.0009908620499834858, S=0.0008754012255617158}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(696)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(698)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(704)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(713)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(721)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(725)), {C=0.0011009578333149841, S=0.0009726680284019065}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(728)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(748)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(753)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(760)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(762)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(769)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(770)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(787)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(792)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(797)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(802)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(804)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(805)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(813)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(814)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(822)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(826)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(827)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(830)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(836)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(840)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(842)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(845)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(850)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(864)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(866)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(869)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(870)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(873)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(875)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(883)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(892)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(893)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(896)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(897)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(901)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(903)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(907)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(909)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(911)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(912)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(914)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(915)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(916)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(917)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(924)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(931)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(934)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(937)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(948)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(951)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(952)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(953)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(967)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(968)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(976)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(977)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(981)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(983)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(984)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(986)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(987)), {C=0.0008807662666519873, S=0.0007781344227215252}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(990)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(992)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(994)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(996)), {C=0.0006605746999889904, S=0.0005836008170411438}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1000)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1003)), {C=0.0007706704833204888, S=0.0006808676198813345}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1007)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1008)), {C=0.0005504789166574921, S=0.00048633401420095323}
(gender(Female))(house_owner(N))(marital_status(M)) --> (buy(1014)), {C=0.0006605746999889904, S=0.0005836008170411438}
