(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(121)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(125)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(132)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(138)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(146)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(148)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(161)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(163)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(174)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(181)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(186)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(192)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(204)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(208)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(214)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(231)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(232)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(241)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(242)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(248)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(254)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(263)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(267)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(273)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(276)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(282)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(287)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(290)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(295)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(309)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(315)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(325)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(335)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(339)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(350)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(352)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(355)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(356)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(357)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(362)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(363)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(364)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(366)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(368)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(371)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(372)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(373)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(380)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(404)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(409)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(413)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(415)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(420)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(421)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(422)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(423)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(427)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(429)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(432)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(434)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(444)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(445)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(449)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(450)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(451)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(452)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(453)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(462)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(465)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(473)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(479)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(480)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(484)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(488)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(493)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(505)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(507)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(519)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(524)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(527)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.0013879250520471894, S=0.001361735239762669}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(533)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(564)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(574)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(580)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(583)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(599)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(612)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(614)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(629)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(636)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(640)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(643)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(649)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(656)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(666)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(671)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(676)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(678)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(684)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(685)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(695)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(718)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(733)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(735)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(739)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(751)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(757)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(762)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(779)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(788)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(791)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(797)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(801)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(804)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(823)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(828)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(834)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(838)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(844)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(849)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(850)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(859)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(860)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(861)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(863)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(864)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(877)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(878)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(880)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(895)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(896)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(898)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(905)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(912)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(917)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(920)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(921)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(922)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(926)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(928)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(929)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(946)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(956)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(959)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(960)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(964)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(970)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(971)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(973)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(976)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(984)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(990)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(994)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(996)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1003)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1005)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1007)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1011)), {C=0.0007931000297412512, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1015)), {C=0.0006939625260235947, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1024)), {C=0.0005948250223059383, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1026)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1032)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1034)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1036)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1048)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1057)), {C=0.000495687518588282, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(1063)), {C=0.0005948250223059383, S=0.0005836008170411438}
