(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(1)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(155)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(156)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(157)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(158)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(159)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(161)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(162)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(164)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(165)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(167)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(168)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(170)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(172)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(174)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(176)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(179)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(180)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(181)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(182)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(183)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(184)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(185)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(188)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(189)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(190)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(192)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(194)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(195)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(197)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(198)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(199)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(201)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(202)), {C=0.0014707546102500281, S=0.0012644684369224784}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(203)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(205)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(206)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(207)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(208)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(209)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(212)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(215)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(216)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(217)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(219)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(220)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(221)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(222)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(226)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(228)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(230)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(231)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(232)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(233)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(234)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(235)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(238)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(240)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(242)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(243)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(244)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(245)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(248)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(251)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(252)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(253)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(254)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(255)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(257)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(258)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(259)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(260)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(261)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(262)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(263)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(264)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(269)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(271)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(272)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(274)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(278)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(279)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(280)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(281)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(282)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(283)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(285)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(288)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(289)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(290)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(292)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(293)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(294)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(295)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(296)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(299)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(302)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(303)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(304)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(306)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(307)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(308)), {C=0.0011313497001923295, S=0.0009726680284019065}
