(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(8)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(953)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(958)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(960)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(968)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(971)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(978)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(979)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(980)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(981)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(985)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(992)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(993)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1003)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1013)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1014)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1026)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1041)), {C=0.0011865211200759373, S=0.0009726680284019065}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1042)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1045)), {C=0.0009492168960607499, S=0.0007781344227215252}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1053)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1057)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1058)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1065)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1080)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1093)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1097)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1100)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1111)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1112)), {C=0.0009492168960607499, S=0.0007781344227215252}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1118)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1124)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1143)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1154)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1156)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1176)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1187)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1201)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1203)), {C=0.0010678690080683437, S=0.0008754012255617158}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1212)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1220)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1245)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1263)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1272)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1291)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1294)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1300)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1301)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1305)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1320)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1348)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1354)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1356)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1357)), {C=0.0010678690080683437, S=0.0008754012255617158}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1366)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1368)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1377)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1380)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1390)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1394)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1409)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1431)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1441)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1443)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1453)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1454)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1455)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1456)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1461)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1469)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1479)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1483)), {C=0.0009492168960607499, S=0.0007781344227215252}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1492)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1493)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1496)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1515)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1520)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1530)), {C=0.0008305647840531561, S=0.0006808676198813345}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1532)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1540)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1543)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1545)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1546)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1547)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1549)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1550)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1552)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1553)), {C=0.0005932605600379687, S=0.00048633401420095323}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1554)), {C=0.0007119126720455623, S=0.0005836008170411438}
(gender(Male))(member card(Golden))(house_owner(Y)) --> (buy(1556)), {C=0.0005932605600379687, S=0.00048633401420095323}
