(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(2)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(583)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(584)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(586)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(588)), {C=0.0011784115012962526, S=0.0009726680284019065}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(591)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(594)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(599)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(602)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(621)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(622)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(628)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(634)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(637)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(638)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(644)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(649)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(654)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(656)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(662)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(663)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(671)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(679)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(680)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(689)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(691)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(698)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(703)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(705)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(710)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(711)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(723)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(725)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(730)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(748)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(768)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(769)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(773)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(775)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(780)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(786)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(788)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(793)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(794)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(796)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(802)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(808)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(813)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(816)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(820)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(821)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(826)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(834)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(841)), {C=0.0010605703511666273, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(847)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(849)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(850)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(852)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(855)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(860)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(866)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(868)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(875)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(878)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(882)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(884)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(885)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(891)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(893)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(894)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(895)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(898)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(904)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(905)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(906)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(909)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(911)), {C=0.0007070469007777515, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(912)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(914)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(918)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(921)), {C=0.0011784115012962526, S=0.0009726680284019065}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(923)), {C=0.0005892057506481263, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(925)), {C=0.0008248880509073767, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(927)), {C=0.0009427292010370022, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(member card(Bronze)) --> (buy(929)), {C=0.0005892057506481263, S=0.00048633401420095323}
