(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(17)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(293)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(295)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(302)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(306)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(307)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(308)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(311)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(312)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(317)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(328)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(332)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(333)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(334)), {C=0.0009408444078560508, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(338)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(340)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(341)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(343)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(345)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(347)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(349)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(353)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(356)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(359)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(368)), {C=0.0010584499588380573, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(371)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(375)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(384)), {C=0.00129366106080207, S=0.001069934831242097}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(386)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(388)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(389)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(390)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(393)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(394)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(400)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(406)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(410)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(413)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(416)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(421)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(423)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(426)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(427)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(432)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(438)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(439)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(441)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(442)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(443)), {C=0.0011760555098200636, S=0.0009726680284019065}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(448)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(451)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(457)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(458)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(464)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(472)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(476)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(477)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(478)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(479)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(480)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(483)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(484)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(485)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(488)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(490)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(493)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(496)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(499)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(502)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(504)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(523)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(526)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(529)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(535)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(536)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(542)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(546)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(551)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(552)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(555)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(559)), {C=0.0011760555098200636, S=0.0009726680284019065}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(562)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(567)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(576)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(585)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(589)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(592)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(593)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(599)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(602)), {C=0.0010584499588380573, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(606)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(608)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(609)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(613)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(619)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(623)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(632)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(633)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(638)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(639)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(642)), {C=0.0009408444078560508, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(645)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(649)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(654)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(666)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(667)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(668)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(681)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(683)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(688)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(689)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(696)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(706)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(711)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(723)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(730)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(733)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(740)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(747)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(748)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(751)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(755)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(766)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(769)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(785)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(791)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(795)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(807)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(814)), {C=0.0010584499588380573, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(819)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(821)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(822)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(826)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(830)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(834)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(835)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(836)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(837)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(838)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(840)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(841)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(849)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(852)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(860)), {C=0.0010584499588380573, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(865)), {C=0.0010584499588380573, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(869)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(876)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(879)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(882)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(892)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(893)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(897)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(900)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(902)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(903)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(906)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(910)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(915)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(923)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(930)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(931)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(936)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(938)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(954)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(958)), {C=0.0010584499588380573, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(969)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(972)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(982)), {C=0.0009408444078560508, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(983)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(984)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(991)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(992)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(994)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(996)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(998)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(1000)), {C=0.000705633305892038, S=0.0005836008170411438}
