(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(4)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(31)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(32)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(34)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(36)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(37)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(39)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(42)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(43)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(46)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(47)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(49)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(50)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(52)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(53)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(54)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(55)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(57)), {C=0.0010726161106939828, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(58)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(59)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(64)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(65)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(70)), {C=0.0009653544996245844, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(71)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(72)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(74)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(75)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(76)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(77)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(78)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(84)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(86)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(87)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(88)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(89)), {C=0.0009653544996245844, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(90)), {C=0.0010726161106939828, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(91)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(93)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(94)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(95)), {C=0.0009653544996245844, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(99)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(100)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(102)), {C=0.0009653544996245844, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(103)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(104)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(109)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(111)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(112)), {C=0.001179877721763381, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(114)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(115)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(116)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(117)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(118)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(121)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(122)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(126)), {C=0.001179877721763381, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(127)), {C=0.0009653544996245844, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(128)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(131)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(132)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(133)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(136)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(137)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(138)), {C=0.001179877721763381, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(139)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(141)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(142)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(143)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(145)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(146)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(147)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(148)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(150)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(154)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(155)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(156)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(157)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(160)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(161)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(162)), {C=0.0009653544996245844, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(163)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(171)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(173)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(175)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(177)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(180)), {C=0.0010726161106939828, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(182)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(185)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(187)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(190)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(193)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(194)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(195)), {C=0.0010726161106939828, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(196)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(198)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(199)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(200)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(205)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(206)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(208)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(210)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(211)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(212)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(213)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(214)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(216)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(219)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(222)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(224)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(226)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(227)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(231)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(232)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(233)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(238)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(239)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(242)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(243)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(245)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(248)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(249)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(251)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(253)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(254)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(255)), {C=0.0010726161106939828, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(256)), {C=0.0009653544996245844, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(258)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(260)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(261)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(265)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(266)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(267)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(270)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(271)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(275)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(279)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(281)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(283)), {C=0.0008580928885551862, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(284)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(287)), {C=0.0009653544996245844, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(288)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(289)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(292)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(293)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(297)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(300)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(301)), {C=0.0009653544996245844, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(304)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(305)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(306)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(307)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(308)), {C=0.0007508312774857878, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(309)), {C=0.0006435696664163896, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(311)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(312)), {C=0.0005363080553469914, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(313)), {C=0.0005363080553469914, S=0.00048633401420095323}
