(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(6)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(772)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(791)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(793)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(820)), {C=0.0011621150493898898, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(869)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(881)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(923)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(928)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(948)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1033)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1047)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1081)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1091)), {C=0.0010168506682161533, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1099)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1109)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1131)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1151)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1163)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1191)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1220)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1231)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1301)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1305)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1347)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1384)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1397)), {C=0.0010168506682161533, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1403)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1437)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(1500)), {C=0.0007263219058686811, S=0.00048633401420095323}
