(gender(Female))(country(USA))(education(Partial College)) --> (buy(4)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(995)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1002)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1017)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1023)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1029)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1040)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1046)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1048)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1054)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1058)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1077)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1085)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1088)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1096)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1122)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1134)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1152)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1154)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1164)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1190)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1196)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1206)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1216)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1222)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1242)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1243)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1260)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1265)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1279)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1298)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1311)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1330)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1335)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1337)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1350)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1353)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1370)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1380)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1399)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1406)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1408)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1421)), {C=0.001003792103502119, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1423)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1425)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1440)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1445)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1446)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1448)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1451)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1452)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1461)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1464)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1476)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1492)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1495)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1498)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1500)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1504)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1511)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1523)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1529)), {C=0.0008922596475574393, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1533)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1538)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1539)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(1548)), {C=0.0005576622797233995, S=0.00048633401420095323}
