(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(1)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(33)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(34)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(36)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(38)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(40)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(41)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(42)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(43)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(44)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(45)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(46)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(48)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(49)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(50)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(53)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(54)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(55)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(59)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(61)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(62)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(63)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(64)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(65)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(66)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(67)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(69)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(70)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(73)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(74)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(75)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(76)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(78)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(79)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(80)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(82)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(83)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(84)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(85)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(86)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(87)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(88)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(90)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(91)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(92)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(94)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(95)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(96)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(97)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(98)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(99)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(101)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(102)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(105)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(106)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(107)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(108)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(109)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(110)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(111)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(112)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(113)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(114)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(115)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(116)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(117)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(118)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(119)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(120)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(121)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(123)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(126)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(127)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(128)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(129)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(130)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(132)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(133)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(134)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(136)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(137)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(138)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(139)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(141)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(142)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(143)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(144)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(145)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(147)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(148)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(150)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(151)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(152)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(153)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(154)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(155)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(157)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(159)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(160)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(161)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(162)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(163)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(164)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(165)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(166)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(168)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(169)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(170)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(171)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(172)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(173)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(174)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(176)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(177)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(178)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(179)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(181)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(182)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(183)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(185)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(186)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(188)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(189)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(190)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(192)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(193)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(194)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(196)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(197)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(199)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(200)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(202)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(206)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(207)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(208)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(210)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(211)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(212)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(213)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(214)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(215)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(216)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(217)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(219)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(220)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(221)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(222)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(223)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(226)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(227)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(228)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(229)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(230)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(231)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(232)), {C=0.0014104372355430183, S=0.0012644684369224784}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(233)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(234)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(236)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(237)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(238)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(239)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(242)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(244)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(245)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(246)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(247)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(248)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(250)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(251)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(252)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(254)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(256)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(257)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(258)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(259)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(261)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(262)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(263)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(264)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(265)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(266)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(268)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(269)), {C=0.0011934468916133232, S=0.001069934831242097}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(270)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(271)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(272)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(273)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(277)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(278)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(280)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(281)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(282)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(283)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(284)), {C=0.0013019420635781707, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(285)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(286)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(287)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(289)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(291)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(292)), {C=0.0007594662037539329, S=0.0006808676198813345}
