(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(254)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(259)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(275)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(279)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(287)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(295)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(301)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(302)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(306)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(354)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(356)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(366)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(372)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(373)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(374)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(390)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(403)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(404)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(409)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(413)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(429)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(439)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(441)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(445)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(452)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(453)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(462)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(479)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(480)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(488)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(490)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(494)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(496)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(507)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(511)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(518)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(526)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(527)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(529)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(533)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(555)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(559)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(563)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(568)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(569)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(573)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(574)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(575)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(599)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(602)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(615)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(618)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(634)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(636)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(640)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(644)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(645)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(647)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(656)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(658)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(663)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(685)), {C=0.0008172438451322913, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(705)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(717)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(723)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(730)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(735)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(762)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(767)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(771)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(785)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(788)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(794)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(807)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(810)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(838)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(844)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(850)), {C=0.0008172438451322913, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(851)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(859)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(860)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(861)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(862)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(865)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(872)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0009193993257738277, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(900)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(905)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(908)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(909)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(912)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(914)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(917)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(921)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(925)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(926)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(927)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(929)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(936)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(937)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(939)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(946)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(957)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(959)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(968)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(970)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(971)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(995)), {C=0.0009193993257738277, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(996)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1004)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1005)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1007)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1010)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1011)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1021)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1026)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1027)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1041)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1048)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1064)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1077)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1084)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1087)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1090)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1095)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1097)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1118)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1121)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1148)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1154)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1155)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1198)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1199)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1202)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1204)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1211)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1224)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1227)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1230)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1257)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1260)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1268)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1274)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1281)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1282)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1284)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1288)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1296)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1326)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1346)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1359)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1360)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1362)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1366)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1369)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1379)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1390)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1394)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1398)), {C=0.0010215548064153642, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1401)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(1410)), {C=0.0010215548064153642, S=0.0009726680284019065}
