(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(199)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(202)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(203)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(204)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(206)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(216)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(226)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(233)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(243)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(249)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(251)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(252)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(255)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(262)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(263)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(264)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.001029512697323267, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(271)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(277)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(279)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(288)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(295)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(299)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(302)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(308)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(329)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(332)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(339)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(340)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(341)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(343)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(347)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(348)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(350)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(358)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(360)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(363)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(366)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(378)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(381)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(386)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(394)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(396)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(400)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(410)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(411)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(417)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(421)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(425)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(426)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(428)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(431)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(433)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(438)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(442)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(445)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(446)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(452)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(455)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0013726835964310226, S=0.0011672016340822876}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(460)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(462)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(466)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(469)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(471)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(475)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(476)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(478)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(479)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0011439029970258523, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(483)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(484)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(485)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(488)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(497)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(498)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(499)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(501)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(507)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(508)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(512)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(513)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(522)), {C=0.0011439029970258523, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(523)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(526)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(528)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(535)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(539)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(544)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(545)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(549)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(554)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(556)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(559)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(561)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(562)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(567)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(574)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(581)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(583)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(590)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(596)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(597)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(599)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(605)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(609)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(613)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(618)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(619)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(621)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(629)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(634)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(635)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(636)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(641)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(644)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(649)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(651)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(652)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(654)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(657)), {C=0.0006863417982155113, S=0.0005836008170411438}
