(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(4)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(241)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(242)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(245)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(250)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(253)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(254)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(264)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(265)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(275)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(282)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(283)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(292)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(293)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(299)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(300)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(301)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(303)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(309)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(312)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(316)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(317)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(318)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(319)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(321)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(324)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(331)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(332)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(333)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(334)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(335)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(340)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(343)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(344)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(348)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(349)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(353)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(358)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(360)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(361)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(367)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(369)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(375)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(376)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(379)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(382)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(383)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(384)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(385)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(388)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(389)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(390)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(393)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(394)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(400)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(403)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(404)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(406)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(411)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(412)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(413)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(414)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(415)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(416)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(417)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(422)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(423)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(426)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(427)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(433)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(434)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(437)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(439)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(443)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(451)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(457)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(458)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(465)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(469)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(473)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(474)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(477)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(480)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(482)), {C=0.0012662599286289858, S=0.001069934831242097}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(483)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(484)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(485)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(486)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(487)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(489)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(492)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(493)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(497)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(498)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(499)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(500)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(502)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(507)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(511)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(513)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(514)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(515)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(519)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(523)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(529)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(530)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(531)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(532)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(535)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(536)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(537)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(538)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(542)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(545)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(547)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(548)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(549)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(551)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(552)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(554)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(556)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(562)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(564)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(570)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(572)), {C=0.0011511453896627143, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(573)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(574)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(576)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(578)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(580)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(581)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(583)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(584)), {C=0.001036030850696443, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(585)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(587)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(592)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(593)), {C=0.0011511453896627143, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(594)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(597)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(598)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(599)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(604)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(607)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(608)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(609)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(610)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(611)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(612)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(614)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(617)), {C=0.0009209163117301715, S=0.0007781344227215252}
