(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(8)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(250)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(258)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(268)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(277)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(279)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(284)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(292)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(301)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(302)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(304)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(307)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(327)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(328)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(335)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(357)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(358)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(367)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(376)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(377)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(378)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(383)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(407)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(414)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(417)), {C=0.00196174595389897, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(445)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(446)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(447)), {C=0.0017165277096615988, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(451)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(454)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(458)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(463)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(478)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(485)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(494)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(504)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(518)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(521)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(541)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(546)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(551)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(553)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(559)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(562)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(567)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(575)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(581)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(590)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(606)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(608)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(609)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(614)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(621)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(629)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(632)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(644)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(645)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(658)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(660)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(680)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(681)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(684)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(690)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(694)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(709)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(743)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(751)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(758)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(760)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(778)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(807)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(834)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(838)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(840)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(854)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(860)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(900)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(904)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(909)), {C=0.0017165277096615988, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(915)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(920)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(922)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(926)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(928)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(937)), {C=0.00196174595389897, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(938)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(945)), {C=0.0017165277096615988, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(950)), {C=0.0017165277096615988, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(952)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(953)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(960)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(971)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(977)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(980)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1002)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1017)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1020)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1028)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1029)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1036)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1037)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1048)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1053)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1063)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1068)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1087)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1100)), {C=0.00196174595389897, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1107)), {C=0.0017165277096615988, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1118)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1119)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1124)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1136)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1144)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1145)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1150)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1153)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1155)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1162)), {C=0.0017165277096615988, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1167)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1171)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1173)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1191)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1203)), {C=0.0017165277096615988, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1204)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1226)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1265)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1275)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1285)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1287)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1294)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1305)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1320)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1327)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1334)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1344)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1354)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1357)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1368)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1377)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1382)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1394)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1409)), {C=0.0017165277096615988, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1411)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1412)), {C=0.00196174595389897, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1420)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1421)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1424)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1431)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1435)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1440)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1443)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1448)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1452)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1455)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1466)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1473)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1480)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1482)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1483)), {C=0.0017165277096615988, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1487)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1492)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1495)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1516)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1531)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1543)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1546)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(1550)), {C=0.0014713094654242274, S=0.0005836008170411438}
