(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(11)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(436)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(437)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(441)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(447)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(451)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(455)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(460)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(461)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(465)), {C=0.001354462955438169, S=0.0009726680284019065}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(466)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(467)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(484)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(490)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(501)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(503)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(506)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(510)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(516)), {C=0.0012190166598943521, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(517)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(547)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(550)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(552)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(571)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(572)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(575)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(580)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(583)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(588)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(599)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(630)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(632)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(634)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(636)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(637)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(644)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(666)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(685)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(690)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(691)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(697)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(699)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(725)), {C=0.0012190166598943521, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(733)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(746)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(786)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(788)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(794)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(801)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(803)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(808)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(812)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(814)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(816)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(824)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(834)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(840)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(849)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(852)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(856)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(861)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(866)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(883)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(888)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(893)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(895)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(898)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(905)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(909)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(910)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(911)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(912)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(918)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(921)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(925)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(929)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(935)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(936)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(945)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(952)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(956)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(959)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(960)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(965)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(966)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(968)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(971)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(972)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(976)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(989)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(996)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1002)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1003)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1013)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1020)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1022)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1024)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1028)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1036)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1044)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1046)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1056)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1057)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1059)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1071)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1075)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1088)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1123)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1127)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1131)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1134)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1148)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1152)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1157)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1161)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1165)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1166)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1182)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1184)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1186)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1190)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1198)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1203)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1230)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1243)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1247)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1258)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1267)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1276)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1278)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1287)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1288)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1291)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1295)), {C=0.0006772314777190845, S=0.00048633401420095323}
