(house_owner(Y))(marital_status(S)) --> (buy(1)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(20)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.002339311574022502, S=0.0020426028596440037}
(house_owner(Y))(marital_status(S)) --> (buy(22)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(23)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(24)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(25)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(26)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(27)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(28)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(29)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(30)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(31)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(32)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(33)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(34)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(35)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(36)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(37)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(38)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(39)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(40)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(41)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(42)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(43)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(44)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(45)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(46)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(47)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(48)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(49)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(50)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(51)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(52)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(53)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(54)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(55)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(56)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(57)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(58)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(59)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(60)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(61)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(62)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(63)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(64)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(65)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(66)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(67)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(68)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(69)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(70)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(71)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(72)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(73)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(74)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(75)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(76)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(77)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(78)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(79)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(80)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(81)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(82)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(83)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(84)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(85)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(87)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(88)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(89)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(90)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(91)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(92)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(93)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(94)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(95)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(96)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(97)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(98)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(99)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(100)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(101)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(102)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(103)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(104)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(105)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(106)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(107)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(108)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(109)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(110)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(111)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(112)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(113)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(114)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(115)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(116)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(117)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(118)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(119)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(120)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(121)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(122)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(123)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(124)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(125)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(126)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(127)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(128)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(129)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(130)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(131)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(132)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(133)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(134)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(135)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(136)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(137)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(138)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(139)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(140)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(143)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(144)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(145)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(146)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(147)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(149)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(150)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(151)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(152)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(153)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(154)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(155)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(156)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(157)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(158)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(159)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(160)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(161)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(162)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(163)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(164)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(165)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(166)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(167)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(168)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(169)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(170)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(171)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(172)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(173)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(174)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(175)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(176)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(177)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(178)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(179)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(180)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(181)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(182)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(183)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(184)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(185)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(187)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(188)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(189)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(190)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(191)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(192)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(193)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(194)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(196)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(197)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(198)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(199)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(200)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(201)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(202)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(204)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(205)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(206)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(207)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(208)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(209)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(210)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(211)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(212)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(213)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(214)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(215)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(216)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(217)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(218)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(219)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(220)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(221)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(222)), {C=0.0015595410493483345, S=0.001361735239762669}
(house_owner(Y))(marital_status(S)) --> (buy(223)), {C=0.002005124206305002, S=0.0017508024511234317}
(house_owner(Y))(marital_status(S)) --> (buy(224)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.002339311574022502, S=0.0020426028596440037}
(house_owner(Y))(marital_status(S)) --> (buy(226)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.002227915784783335, S=0.001945336056803813}
(house_owner(Y))(marital_status(S)) --> (buy(228)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(229)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(230)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(231)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(232)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(233)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(234)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(235)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(236)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(237)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(238)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(239)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(240)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(241)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(242)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(243)), {C=0.0007797705246741672, S=0.0006808676198813345}
(house_owner(Y))(marital_status(S)) --> (buy(244)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(245)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(246)), {C=0.0005569789461958338, S=0.00048633401420095323}
(house_owner(Y))(marital_status(S)) --> (buy(247)), {C=0.001002562103152501, S=0.0008754012255617158}
(house_owner(Y))(marital_status(S)) --> (buy(248)), {C=0.0017823326278266682, S=0.0015562688454430504}
(house_owner(Y))(marital_status(S)) --> (buy(249)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(250)), {C=0.001893728417065835, S=0.001653535648283241}
(house_owner(Y))(marital_status(S)) --> (buy(251)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(252)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(253)), {C=0.0008911663139133341, S=0.0007781344227215252}
(house_owner(Y))(marital_status(S)) --> (buy(254)), {C=0.0016709368385875013, S=0.0014590020426028597}
(house_owner(Y))(marital_status(S)) --> (buy(255)), {C=0.0021165199955441682, S=0.0018480692539636222}
(house_owner(Y))(marital_status(S)) --> (buy(256)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(257)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(258)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(259)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(260)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(261)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(262)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(263)), {C=0.0006683747354350004, S=0.0005836008170411438}
(house_owner(Y))(marital_status(S)) --> (buy(264)), {C=0.0012253536816308344, S=0.001069934831242097}
(house_owner(Y))(marital_status(S)) --> (buy(265)), {C=0.0014481452601091678, S=0.0012644684369224784}
(house_owner(Y))(marital_status(S)) --> (buy(266)), {C=0.001336749470870001, S=0.0011672016340822876}
(house_owner(Y))(marital_status(S)) --> (buy(267)), {C=0.0011139578923916676, S=0.0009726680284019065}
(house_owner(Y))(marital_status(S)) --> (buy(268)), {C=0.001893728417065835, S=0.001653535648283241}
