(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(391)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(424)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(449)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0007373077733305245, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(456)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(459)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0007373077733305245, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(478)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0007373077733305245, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(597)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(621)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(691)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(731)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(737)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(738)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(759)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(795)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(807)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(852)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(884)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(906)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(913)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(935)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(944)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(966)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(968)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1002)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1009)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1013)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1020)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0007373077733305245, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1072)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1083)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1091)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1100)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1127)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1170)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1176)), {C=0.0007373077733305245, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1182)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1210)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1220)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1233)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1236)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1247)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1256)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1267)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1275)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1285)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1309)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1314)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1341)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1348)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1357)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1366)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1371)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1382)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1387)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1393)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1394)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1409)), {C=0.0007373077733305245, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1414)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1432)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1448)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1449)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1519)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1533)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1543)), {C=0.0005266484095218033, S=0.00048633401420095323}
