(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(3)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(177)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(183)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(186)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(187)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(188)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(197)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(206)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(211)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(217)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(223)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(227)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(228)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(231)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(232)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(238)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(244)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(246)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(248)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(254)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(262)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(263)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(264)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(268)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(270)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(271)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(272)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(284)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(286)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(294)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(297)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(298)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(304)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(305)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(311)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(312)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(320)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(321)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(323)), {C=0.001093427287085409, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(326)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(331)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(333)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(334)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(337)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(339)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(341)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(344)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(345)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(349)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(356)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(358)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(362)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(369)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(371)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(373)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(376)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(378)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(379)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(382)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(384)), {C=0.001093427287085409, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(386)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(388)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(390)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(393)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(394)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(397)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(400)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(402)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(404)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(405)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(409)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(411)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(412)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(414)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(415)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(417)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(419)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(420)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(425)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(426)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(434)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(440)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(441)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(442)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(443)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(446)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(447)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(455)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(462)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(463)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(468)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(472)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(475)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(477)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(478)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(481)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(482)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(491)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(497)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(499)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(502)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(504)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(505)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(506)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(513)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(517)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(518)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(520)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(522)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(523)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(524)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(528)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(529)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(530)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(537)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(539)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(540)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(541)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(544)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(547)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(548)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(549)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(552)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(560)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(566)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(570)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(574)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(576)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(578)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(579)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(587)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(588)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(591)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(593)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(594)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(603)), {C=0.0012149192078726766, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(604)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(605)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(609)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(613)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(626)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(629)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(633)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(638)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(639)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(640)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(641)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(645)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(647)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(650)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(652)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(655)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(656)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(660)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(661)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(662)), {C=0.0009719353662981413, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(663)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(668)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(673)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(675)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(677)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(680)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(685)), {C=0.0007289515247236059, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(689)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(691)), {C=0.0006074596039363383, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(692)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(696)), {C=0.0008504434455108735, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(697)), {C=0.0006074596039363383, S=0.00048633401420095323}
