(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(24)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(539)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(552)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(576)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(588)), {C=0.0006943066851815116, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(628)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(634)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(710)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(769)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(802)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(841)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(893)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(894)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(921)), {C=0.0006943066851815116, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(925)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(927)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(956)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(995)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1003)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1020)), {C=0.0006943066851815116, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1034)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1047)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1056)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1057)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1063)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1079)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1131)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1184)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1216)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1222)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1245)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1275)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1276)), {C=0.0006943066851815116, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1278)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1288)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1289)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1299)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1300)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1311)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1365)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1366)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1377)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1394)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1398)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1411)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1441)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1489)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1510)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1538)), {C=0.0006943066851815116, S=0.0006808676198813345}
