(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(17)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(312)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(328)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(349)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(384)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(393)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(394)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(442)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(443)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(457)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(478)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(485)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(546)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(559)), {C=0.0007934933544931562, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(562)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(609)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(730)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(769)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(807)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(835)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(860)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(865)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(915)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(958)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1019)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1044)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1070)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1092)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1138)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1165)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1198)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1277)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1327)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1357)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1404)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1431)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1485)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1547)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1558)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(17)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(29)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(225)), {C=0.0006943066851815116, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(293)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(312)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(328)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(349)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(384)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(393)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(394)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(442)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(443)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(457)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(478)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(485)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(546)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(559)), {C=0.0007934933544931562, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(562)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(609)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(730)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(769)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(807)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(835)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(860)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(865)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(915)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(958)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1019)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1044)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1070)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1092)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1138)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1165)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1198)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1277)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1327)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1357)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1404)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1431)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1485)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1547)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(house_owner(Y)) --> (buy(1558)), {C=0.0004959333465582226, S=0.00048633401420095323}
