(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(7)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(833)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(835)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(844)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(845)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(847)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(848)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(855)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(858)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(871)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(872)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(896)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(902)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(907)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(910)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(915)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(921)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(924)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(925)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(933)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(941)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(946)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(951)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(952)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(957)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(963)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(964)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(967)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(987)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(988)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(992)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(993)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(996)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(998)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1003)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1006)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1015)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1018)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1023)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1036)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1048)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1064)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1084)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1085)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1086)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1092)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1099)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1100)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1122)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1136)), {C=0.0022522522522522522, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1138)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1140)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1147)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1154)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1163)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1169)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1173)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1198)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1208)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1222)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1223)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1226)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1227)), {C=0.002002002002002002, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1234)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1236)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1237)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1239)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1249)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1259)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1281)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1286)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1290)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1298)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1319)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1324)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1337)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1341)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1353)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1356)), {C=0.002002002002002002, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1358)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1367)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1370)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1380)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1389)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1392)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1405)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1406)), {C=0.002002002002002002, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1413)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1415)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1417)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1419)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1420)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1428)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1431)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1432)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1436)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1437)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1443)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1445)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1446)), {C=0.0022522522522522522, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1447)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1452)), {C=0.002002002002002002, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1455)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1462)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1466)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1467)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1474)), {C=0.0012512512512512512, S=0.00048633401420095323}
