(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(8)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(88)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(89)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(96)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(115)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(122)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(124)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(125)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(126)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(132)), {C=0.002075119319360863, S=0.0009726680284019065}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(138)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(139)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(143)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(148)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(150)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(152)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(153)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(154)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(158)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(161)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(165)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(166)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(167)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(169)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(177)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(179)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(181)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(188)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(195)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(198)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(199)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(205)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(216)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(218)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(221)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(227)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(229)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(231)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(240)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(250)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(252)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(253)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(255)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(264)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(268)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(275)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(276)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(277)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(279)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(291)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(299)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(301)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(302)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(307)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(309)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(310)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(317)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(318)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(331)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(334)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(335)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(337)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(339)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(341)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(343)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(349)), {C=0.0022826312512969496, S=0.001069934831242097}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(350)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(354)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(355)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(358)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(359)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(361)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(363)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(370)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(372)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(376)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(378)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(379)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(380)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(383)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(384)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(385)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(387)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(390)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(394)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(397)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(399)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(400)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(401)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(404)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(407)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(413)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(414)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(415)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(417)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(419)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(432)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(433)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(434)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(436)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(437)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(439)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(441)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(447)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(451)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(452)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(455)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(460)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(461)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(464)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(465)), {C=0.0024901431832330357, S=0.0011672016340822876}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(466)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(467)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(471)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(479)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(480)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(483)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(484)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(490)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(491)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(492)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(495)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(500)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(501)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(503)), {C=0.002075119319360863, S=0.0009726680284019065}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(505)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(506)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(510)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(511)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(516)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(517)), {C=0.002075119319360863, S=0.0009726680284019065}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(518)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(522)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(525)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(526)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(529)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(530)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(532)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(534)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(539)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(541)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(546)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(547)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(550)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(551)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(552)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(562)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(563)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(566)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(571)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(572)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(575)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(576)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(577)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(580)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(583)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(588)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(591)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(597)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(599)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(606)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(609)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(618)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(624)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(626)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(627)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(630)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(632)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(634)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(635)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(636)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(637)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(641)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(644)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(646)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(647)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(656)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(664)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(666)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(668)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(684)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(685)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(689)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(690)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(691)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(692)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(695)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(696)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(697)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(699)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(702)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(705)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(710)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(724)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(725)), {C=0.002075119319360863, S=0.0009726680284019065}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(731)), {C=0.0012450715916165179, S=0.0005836008170411438}
