(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(53)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(900)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(920)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(927)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(937)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(970)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(984)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(986)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(997)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1044)), {C=0.0007574937777296829, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1058)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1065)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1070)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1082)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1084)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1116)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1187)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1193)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1206)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1209)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1226)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1250)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1296)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1343)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1387)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1395)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1397)), {C=0.0007574937777296829, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1437)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1440)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1470)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1487)), {C=0.0007574937777296829, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1538)), {C=0.0007574937777296829, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1539)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1546)), {C=0.0005410669840926307, S=0.00048633401420095323}
