(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(6)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(91)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(100)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(101)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(107)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(112)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(113)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(118)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(123)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(132)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(151)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(156)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(157)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(161)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(162)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(163)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(165)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(167)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(168)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(172)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(176)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(179)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(183)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(184)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(186)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(195)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(196)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(198)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(200)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(206)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(211)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(217)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(219)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(220)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(223)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(225)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(229)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(231)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(244)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(245)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(250)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(252)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(253)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(255)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(257)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(260)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(270)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(271)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(278)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(283)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(285)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(286)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(288)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(289)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(292)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(296)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(300)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(302)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(304)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(306)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(309)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(311)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(315)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(317)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(318)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(321)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(322)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(323)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(336)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(338)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(342)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(344)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(348)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(349)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(351)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(352)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(356)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(358)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(362)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(369)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(370)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(377)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(378)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(385)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(389)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(391)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(399)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(400)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(401)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(404)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(406)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(408)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(415)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(416)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(421)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(423)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(426)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(427)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(429)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(432)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(438)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(440)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(441)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(444)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(446)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(450)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(451)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(454)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(455)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(456)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(457)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(460)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(463)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(466)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(467)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(468)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(469)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(473)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(475)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(476)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(482)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(483)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(486)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(490)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(492)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(494)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(495)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(496)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(500)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(502)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(506)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(510)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(514)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(515)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(516)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(518)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(520)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(525)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(526)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(529)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(531)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(536)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(545)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(546)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(550)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(552)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(567)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(569)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(576)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(579)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(583)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(586)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(589)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(592)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(593)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(595)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(597)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(598)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(599)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(602)), {C=0.0005424758598242378, S=0.00048633401420095323}
