(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(2)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(52)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(55)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(56)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(57)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(59)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(60)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(61)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(62)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(63)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(64)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(65)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(66)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(67)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(68)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(69)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(70)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(71)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(73)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(74)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(75)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(77)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(78)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(80)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(81)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(82)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(83)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(84)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(85)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(86)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(88)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(89)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(90)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(92)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(93)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(96)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(98)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(100)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(102)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(103)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(104)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(105)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(107)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(108)), {C=0.0012714558169103622, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(109)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(110)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(111)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(112)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(113)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(114)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(115)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(120)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(121)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(124)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(126)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(127)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(128)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(130)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(131)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(132)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(133)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(134)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(135)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(137)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(139)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(140)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(141)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(143)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(144)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(145)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(146)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(147)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(150)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(152)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(153)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(155)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(156)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(158)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(160)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(163)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(164)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(165)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(167)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(168)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(170)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(172)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(173)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(175)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(179)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(180)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(181)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(182)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(183)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(184)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(185)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(188)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(189)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(190)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(192)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(194)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(195)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(196)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(198)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(199)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(200)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(201)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(202)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(203)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(204)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(205)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(206)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(207)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(209)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(212)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(213)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(216)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(217)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(220)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(221)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(223)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(226)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(227)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(228)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(229)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(231)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(232)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(233)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(234)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(236)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(237)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(238)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(239)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(241)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(243)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(244)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(245)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(246)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(248)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(249)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(250)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(251)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(253)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(255)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(257)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(258)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(259)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(261)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(262)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(263)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(264)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(266)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(268)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(269)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(270)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(271)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(272)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(274)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(277)), {C=0.0006357279084551811, S=0.0005836008170411438}
