(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(11)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(526)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(541)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(588)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(599)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(626)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(634)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(637)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(644)), {C=0.0008413967185527977, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(690)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(786)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(794)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(814)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(834)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(849)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(905)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(912)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(935)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(941)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(945)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(952)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(959)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(976)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(996)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1002)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1013)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1024)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1036)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1046)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1056)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1059)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1071)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1148)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1152)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1157)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1186)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1283)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1287)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1296)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1300)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1339)), {C=0.0007362221287336979, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1346)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1354)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1366)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1392)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1394)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1422)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1425)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1426)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1429)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1445)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1453)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1460)), {C=0.0006310475389145982, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1490)), {C=0.0005258729490954985, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(1501)), {C=0.0005258729490954985, S=0.00048633401420095323}
