(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(40)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1340)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1354)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1373)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1387)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1425)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1430)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1436)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1440)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1455)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1458)), {C=0.0007675438596491227, S=0.0006808676198813345}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1467)), {C=0.0007675438596491227, S=0.0006808676198813345}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1473)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1493)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1496)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1545)), {C=0.0005482456140350877, S=0.00048633401420095323}
