(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(17)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1391)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1407)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1415)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1467)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1500)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1525)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1527)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1537)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1538)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1554)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(17)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(26)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(64)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(70)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(75)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(133)), {C=0.0009301089556205155, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(148)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(174)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(260)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(263)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(296)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(316)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(352)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(358)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(390)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(407)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(410)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(414)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(426)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(436)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(447)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(448)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(475)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(492)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(513)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(563)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(564)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(573)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(587)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(589)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(595)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(604)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(642)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(645)), {C=0.0009301089556205155, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(668)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(670)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(684)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(693)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(708)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(719)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(765)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(774)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(779)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(797)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(821)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(825)), {C=0.0009301089556205155, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(859)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(867)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(882)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(916)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(917)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(924)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(929)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(967)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(976)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1011)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1012)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1160)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1204)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1207)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1275)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1358)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1364)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1366)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1391)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1407)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1415)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1467)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1500)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1525)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1527)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1537)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1538)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(1554)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(17)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(26)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(64)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(70)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(75)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(133)), {C=0.0009301089556205155, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(148)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(174)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(260)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(263)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(296)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(316)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(352)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(358)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(390)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(407)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(410)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(414)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(426)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(436)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(447)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(448)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(475)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(492)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(513)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(563)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(564)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(573)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(587)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(589)), {C=0.0007972362476747275, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(595)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(604)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(642)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(645)), {C=0.0009301089556205155, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(668)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(670)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(684)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(693)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(708)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(719)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(765)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(774)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(779)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(797)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(821)), {C=0.0006643635397289397, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(825)), {C=0.0009301089556205155, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($30K - $50K)) --> (buy(859)), {C=0.0006643635397289397, S=0.00048633401420095323}
