(member card(Silver)) --> (buy(2)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(69)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(71)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(72)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(74)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(75)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(76)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(80)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(81)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(86)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(88)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(89)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(92)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(93)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(94)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(103)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(106)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(107)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(108)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(112)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(113)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(116)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(120)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(121)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(123)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(124)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(129)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(131)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(132)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(133)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(134)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(137)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(141)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(143)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(146)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(150)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(151)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(155)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(158)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(160)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(162)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(163)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(166)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(167)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(168)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(172)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(174)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(175)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(176)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(179)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(181)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(182)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(183)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(184)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(185)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(189)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(193)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(196)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(200)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(212)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(213)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(223)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(224)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(225)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(229)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(230)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(231)), {C=0.011458333333333334, S=0.001069934831242097}
(member card(Silver)) --> (buy(236)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(237)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(238)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(242)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(243)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(248)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(250)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(252)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(253)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(254)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(256)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(259)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(260)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(261)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(262)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(263)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(266)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(269)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(271)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(272)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(274)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(275)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(276)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(278)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(283)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(285)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(286)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(288)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(289)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(298)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(302)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(304)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(307)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(309)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(310)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(311)), {C=0.011458333333333334, S=0.001069934831242097}
(member card(Silver)) --> (buy(312)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(313)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(315)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(316)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(318)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(320)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(321)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(326)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(327)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(328)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(330)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(332)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(333)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(334)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(335)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(336)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(337)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(340)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(341)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(344)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(345)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(346)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(347)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(349)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(353)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(358)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(360)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(361)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(362)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(366)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(369)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(370)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(371)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(373)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(378)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(379)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(380)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(381)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(384)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(385)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(386)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(389)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(390)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(394)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(395)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(396)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(398)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(399)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(400)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(401)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(402)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(404)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(405)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(406)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(407)), {C=0.011458333333333334, S=0.001069934831242097}
(member card(Silver)) --> (buy(411)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(413)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(414)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(415)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(417)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(420)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(421)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(423)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(424)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(425)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(426)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(428)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(429)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(431)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(432)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(434)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(435)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(437)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(438)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(439)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(442)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(443)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(444)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(446)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(447)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(448)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(449)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(450)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(451)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(453)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(454)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(455)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(456)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(461)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(465)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(466)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(473)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(475)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(476)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(477)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(478)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(479)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(480)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(483)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(485)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(487)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(490)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(492)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(497)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(498)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(499)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(500)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(501)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(502)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(504)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(506)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(507)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(508)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(511)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(514)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(515)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(518)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(520)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(521)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(522)), {C=0.011458333333333334, S=0.001069934831242097}
(member card(Silver)) --> (buy(523)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(525)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(527)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(529)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(532)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(535)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(536)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(537)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(538)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(540)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(542)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(543)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(546)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(548)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(550)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(551)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(556)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(558)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(560)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(563)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(567)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(568)), {C=0.012499999999999999, S=0.0011672016340822876}
(member card(Silver)) --> (buy(569)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(571)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(576)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(577)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(580)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(581)), {C=0.009375, S=0.0008754012255617158}
(member card(Silver)) --> (buy(583)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(586)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(590)), {C=0.011458333333333334, S=0.001069934831242097}
(member card(Silver)) --> (buy(593)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(595)), {C=0.012499999999999999, S=0.0011672016340822876}
(member card(Silver)) --> (buy(596)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(597)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(599)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(600)), {C=0.010416666666666668, S=0.0009726680284019065}
(member card(Silver)) --> (buy(603)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(605)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(607)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(608)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(609)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(611)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(612)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(613)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(614)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(615)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(618)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(622)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(623)), {C=0.008333333333333333, S=0.0007781344227215252}
(member card(Silver)) --> (buy(624)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(625)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(626)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(633)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(634)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(637)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(640)), {C=0.007291666666666666, S=0.0006808676198813345}
(member card(Silver)) --> (buy(643)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(649)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(650)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(651)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(652)), {C=0.0062499999999999995, S=0.0005836008170411438}
(member card(Silver)) --> (buy(654)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(655)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(661)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(663)), {C=0.005208333333333334, S=0.00048633401420095323}
(member card(Silver)) --> (buy(664)), {C=0.009375, S=0.0008754012255617158}
