(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1500)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1518)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(90)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(220)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(368)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(439)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(445)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(448)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(576)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(642)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(689)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(712)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(785)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0008826125330979699, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(872)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(903)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(915)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(930)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1009)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1198)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1230)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1254)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1275)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1364)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1500)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1518)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(90)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(220)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(368)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(439)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(445)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(448)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(576)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(642)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(689)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(712)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(785)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(825)), {C=0.0008826125330979699, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(872)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(903)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(915)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(930)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1009)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1198)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1230)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1254)), {C=0.0007565250283696885, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1275)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1364)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1500)), {C=0.0006304375236414072, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1518)), {C=0.0006304375236414072, S=0.00048633401420095323}
