(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(21)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1107)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1136)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1144)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1145)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1162)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1197)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1217)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1256)), {C=0.0008071025020177563, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1260)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1295)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1302)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1313)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1330)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1349)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1376)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1397)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1412)), {C=0.0007062146892655366, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1420)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1478)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1485)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1501)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1516)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1546)), {C=0.0005044390637610976, S=0.00048633401420095323}
