(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(3)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(79)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(80)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(86)), {C=0.001099989000109999, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(87)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(90)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(95)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(96)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(97)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(100)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(101)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(103)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(105)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(108)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(112)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(113)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(115)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(116)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(119)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(123)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(127)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(130)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(132)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(135)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(136)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(138)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(143)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(147)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(150)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(154)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(155)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(156)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(159)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(160)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(161)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(162)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(163)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(164)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(165)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(166)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(168)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(172)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(176)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(177)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(179)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(183)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(184)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(186)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(187)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(191)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(196)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(197)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(206)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(208)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(210)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(211)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(217)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(223)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(226)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(227)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(228)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(229)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(230)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(231)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(242)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(244)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(245)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(249)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(251)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(252)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(254)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(258)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(259)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(261)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(262)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(263)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(264)), {C=0.001099989000109999, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(265)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(267)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(270)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(271)), {C=0.0013199868001319986, S=0.0011672016340822876}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(272)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(276)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(286)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(288)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(292)), {C=0.001099989000109999, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(294)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(295)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(297)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(298)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(299)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(300)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(304)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(305)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(307)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(308)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(309)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(311)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(312)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(313)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(315)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(317)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(319)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(321)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(322)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(323)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(326)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(327)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(328)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(331)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(334)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(336)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(337)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(338)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(341)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(344)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(345)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(348)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(349)), {C=0.001099989000109999, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(350)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(351)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(352)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(356)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(357)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(358)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(360)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(362)), {C=0.0012099879001209988, S=0.001069934831242097}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(363)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(367)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(369)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(373)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(374)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(376)), {C=0.000989990100098999, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(377)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(378)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(379)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(382)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(383)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(384)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(385)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(386)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(389)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(390)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(391)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(394)), {C=0.000989990100098999, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(397)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(399)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(400)), {C=0.000989990100098999, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(401)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(402)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(404)), {C=0.000989990100098999, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(405)), {C=0.001099989000109999, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(406)), {C=0.000989990100098999, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(407)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(408)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(409)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(410)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(411)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(412)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(414)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(415)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(416)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(417)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(418)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(419)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(421)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(423)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(426)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(433)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(434)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(436)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(437)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(438)), {C=0.000989990100098999, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(440)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(441)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(442)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(443)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(444)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(446)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(450)), {C=0.000989990100098999, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(451)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(455)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(457)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(460)), {C=0.0006599934000659993, S=0.0005836008170411438}
